feature	rounded_total_cn	threshold	accuracy	precision	recall	f1	n_segments	n_loh	n_nonloh	tp	tn	fp	fn
mean_mBAF	1	0.3869011873151088	0.9	0.9	1.0	0.9473684210526316	10	9	1	9	0	1	0
mean_mBAF	2	0.3271433057587093	0.984251968503937	0.9827586206896551	1.0	0.9913043478260869	127	114	13	114	11	2	0
mean_mBAF	3	0.23995557560391373	0.9741379310344828	0.9655172413793104	0.9333333333333333	0.9491525423728815	116	30	86	28	85	1	2
mean_mBAF	4	0.2433359817055158	0.9897959183673469	0.9090909090909091	1.0	0.9523809523809523	98	10	88	10	87	1	0
mean_mBAF	5	0.18908479424900188	1.0	1.0	1.0	1.0	19	2	17	2	17	0	0
mean_mBAF	6	0.15522870226783586	1.0	1.0	1.0	1.0	14	1	13	1	13	0	0
median_mBAF	1	0.40000000100000005	0.9	0.9	1.0	0.9473684210526316	10	9	1	9	0	1	0
median_mBAF	2	0.36038961038961054	0.984251968503937	0.9827586206896551	1.0	0.9913043478260869	127	114	13	114	11	2	0
median_mBAF	3	0.2347876004592422	0.9741379310344828	0.9354838709677419	0.9666666666666667	0.9508196721311476	116	30	86	29	84	2	1
median_mBAF	4	0.23380566801619426	0.9897959183673469	0.9090909090909091	1.0	0.9523809523809523	98	10	88	10	87	1	0
median_mBAF	5	0.16233766233766228	1.0	1.0	1.0	1.0	19	2	17	2	17	0	0
median_mBAF	6	0.12365591397849454	1.0	1.0	1.0	1.0	14	1	13	1	13	0	0
